,pIPO,pH,pL,p1day,Pmid,Y1,Y2,C6p
0,10.0,9.5,8.5,11.8699998855591,9.0,0,1,11.11111111111111
1,8.0,10.0,8.0,7.25,9.0,1,0,0.0
2,7.0,14.0,12.0,6.69999980926514,13.0,1,0,0.0
3,11.5,16.0,14.0,12.3900003433228,15.0,1,1,0.0
4,21.0,21.0,19.0,56.5999984741211,20.0,0,1,5.0
5,13.5,14.5,12.5,14.1999998092651,13.5,0,1,0.0
6,6.0,13.0,11.0,6.71999979019165,12.0,1,1,0.0
7,5.0,14.0,12.0,4.55000019073486,13.0,1,0,0.0
8,15.0,18.0,16.0,15.8999996185303,17.0,1,1,0.0
9,9.0,19.0,17.0,0.0,18.0,1,0,0.0
10,,,,,,0,0,0.0
11,5.0,9.0,8.0,6.0,8.5,1,1,0.0
12,16.0,16.0,14.0,19.7000007629395,15.0,0,1,6.666666666666667
13,25.0,24.0,22.0,33.8800010681152,23.0,0,1,8.695652173913043
14,14.5,16.0,15.0,14.6000003814697,15.5,1,1,0.0
15,12.0,16.0,14.0,13.55,15.0,1,1,0.0
16,11.0,12.0,10.0,12.45,11.0,0,1,0.0
17,13.5,16.0,14.0,14.289999961853,15.0,1,1,0.0
18,7.0,10.0,8.0,7.17000007629395,9.0,1,1,0.0
19,18.0,17.0,15.0,25.1000003814697,16.0,0,1,12.5
20,11.0,17.0,15.0,11.0,16.0,1,0,0.0
21,16.0,16.0,14.0,17.25,15.0,0,1,6.666666666666667
22,13.0,14.0,12.0,16.5,13.0,0,1,0.0
23,6.0,8.0,6.0,6.01000022888184,7.0,1,1,0.0
24,15.0,16.0,14.0,16.82,15.0,0,1,0.0
25,8.0,12.0,10.0,85.099983215332,11.0,1,1,0.0
26,6.0,11.0,9.0,6.05999994277954,10.0,1,1,0.0
27,20.0,20.0,18.0,20.1000003814697,19.0,0,1,5.263157894736842
28,10.0,16.0,14.0,10.1700000762939,15.0,1,1,0.0
29,5.0,18.0,16.0,5.09000015258789,17.0,1,1,0.0
30,10.0,15.0,13.0,9.57999992370605,14.0,1,0,0.0
31,13.0,13.0,11.0,16.2600002288818,12.0,0,1,8.333333333333332
32,11.0,14.0,12.0,12.5,13.0,1,1,0.0
33,13.5,9.5,8.0,20.29,8.75,0,1,54.285714285714285
34,18.0,20.0,16.0,17.7000007629395,18.0,0,0,0.0
35,20.0,19.0,18.0,35.9199981689453,18.5,0,1,8.108108108108109
36,9.5,7.5,6.5,15.9099998474121,7.0,0,1,35.714285714285715
37,18.0,18.0,17.0,28.4699993133545,17.5,0,1,2.857142857142857
38,17.5,16.0,14.0,116.0,15.0,0,1,16.666666666666664
39,16.5,17.0,15.0,18.7700004577637,16.0,0,1,3.125
40,17.0,15.0,13.0,21.2,14.0,0,1,21.428571428571427
41,12.0,16.0,14.0,12.5900001525879,15.0,1,1,0.0
42,21.0,18.0,16.0,22.9549999237061,17.0,0,1,23.52941176470588
43,13.0,16.0,14.0,13.75,15.0,1,1,0.0
44,9.0,11.0,9.0,8.77999973297119,10.0,1,0,0.0
45,6.0,14.0,12.0,7.67,13.0,1,1,0.0
46,11.0,10.0,8.0,14.1499996185303,9.0,0,1,22.22222222222222
47,11.0,15.0,13.0,14.79,14.0,1,1,0.0
48,9.0,12.0,11.0,8.97999954223633,11.5,1,0,0.0
49,18.0,16.0,14.0,35.5,15.0,0,1,20.0
50,12.0,14.0,12.0,14.0799999237061,13.0,1,1,0.0
51,7.5,9.0,8.0,7.19999980926514,8.5,1,0,0.0
52,17.0,16.0,14.0,23.9300003051758,15.0,0,1,13.333333333333334
53,9.0,15.0,13.0,8.98999977111816,14.0,1,0,0.0
54,15.0,15.0,13.0,16.1800003051758,14.0,0,1,7.142857142857142
55,10.0,14.0,12.0,10.0,13.0,1,0,0.0
56,43.0,43.0,40.0,38.37,41.5,0,0,3.614457831325301
57,10.5,12.0,10.0,9.48999977111816,11.0,1,0,0.0
58,27.0,27.0,24.0,40.2099990844727,25.5,0,1,5.88235294117647
59,21.0,26.0,24.0,20.6000003814697,25.0,1,0,0.0
60,23.0,23.0,21.0,26.6000003814697,22.0,0,1,4.545454545454546
61,18.0,21.0,19.0,18.23,20.0,1,1,0.0
62,17.0,19.0,17.0,19.25,18.0,1,1,0.0
63,14.0,16.0,14.0,13.960000038147,15.0,1,0,0.0
64,22.0,17.0,15.0,27.1499996185303,16.0,0,1,37.5
65,20.0,12.0,11.0,21.5,11.5,0,1,73.91304347826086
66,14.0,15.0,13.0,20.0100002288818,14.0,0,1,0.0
67,25.0,23.0,20.0,29.0499992370605,21.5,0,1,16.27906976744186
68,13.0,12.0,10.0,17.0,11.0,0,1,18.181818181818183
69,14.0,16.0,14.0,15.9499998092651,15.0,1,1,0.0
70,20.0,18.0,16.0,25.0499992370605,17.0,0,1,17.647058823529413
71,11.0,12.0,10.0,14.3000001907349,11.0,0,1,0.0
72,15.5,15.0,13.0,16.7000007629395,14.0,0,1,10.714285714285714
73,13.0,15.0,12.0,12.65,13.5,1,0,0.0
74,18.0,20.0,18.0,17.7000007629395,19.0,1,0,0.0
75,13.0,14.0,12.0,10.6599998474121,13.0,0,0,0.0
76,22.0,21.0,19.0,28.3199996948242,20.0,0,1,10.0
77,8.0,11.0,9.0,8.55000019073486,10.0,1,1,0.0
78,5.25,16.0,14.0,5.0,15.0,1,0,0.0
79,15.0,16.0,14.0,72.0,15.0,0,1,0.0
80,10.5,14.0,13.0,86.9935302734375,13.5,1,1,0.0
81,17.0,17.0,15.0,17.5,16.0,0,1,6.25
82,7.75,8.0,7.0,8.29,7.5,0,1,3.3333333333333335
83,11.0,15.0,13.0,12.4099998474121,14.0,1,1,0.0
